date_iso,exercise,set_index,reps,target_reps,set_duration_sec,rest_planned_sec
2025-09-08T21:02:48,Sentadillas,1,10,10,35.7,45
2025-09-08T21:03:43,Sentadillas,2,10,10,9.39,45
